human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.4493,0.5674,0.6552,0.7398,0.7429,0.828,0.7249,0.721,0.6495
0.4493,0.5674,0.6462,0.7395,0.739,0.8272,0.7189,0.6691,0.6225
0.4493,0.5674,0.6521,0.7367,0.738,0.8255,0.7237,0.7176,0.6439
0.4493,0.5674,0.6516,0.7346,0.7365,0.8272,0.7229,0.6334,0.6007
0.4493,0.5674,0.6519,0.7433,0.7452,0.827,0.726,0.65,0.6146
0.4493,0.5674,0.6445,0.737,0.7336,0.831,0.7274,0.6984,0.6368
0.4493,0.5674,0.6512,0.7387,0.7398,0.8297,0.7255,0.6809,0.6299
0.4493,0.5674,0.6513,0.7397,0.7391,0.829,0.7296,0.6715,0.6213
0.4493,0.5674,0.6443,0.7397,0.7402,0.8276,0.7238,0.685,0.6299
0.4493,0.5674,0.6468,0.7387,0.7372,0.8247,0.724,0.6422,0.6135
