human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7015,0.5674,0.7633,0.9176,0.9176,0.3254,0.8444,0.9997,0.9981
0.7015,0.5674,0.7626,0.9194,0.9195,0.3247,0.8478,0.9997,0.9961
0.7015,0.5674,0.7609,0.9239,0.9239,0.3362,0.8451,0.9997,0.9978
0.7015,0.5674,0.7691,0.9218,0.922,0.325,0.84,0.9996,0.9984
0.7015,0.5674,0.7579,0.9284,0.9286,0.3315,0.8481,0.9997,0.9976
0.7015,0.5674,0.7593,0.9303,0.9305,0.3287,0.848,0.9996,0.9974
0.7015,0.5674,0.7688,0.9314,0.9316,0.325,0.8458,0.9997,0.9969
0.7015,0.5674,0.7571,0.9339,0.9339,0.3307,0.8538,0.9997,0.9983
0.7015,0.5674,0.7646,0.9238,0.9239,0.3271,0.8446,0.9996,0.998
0.7015,0.5674,0.7646,0.9347,0.935,0.3318,0.8487,0.9997,0.9982
