human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7007,0.5674,0.7758,0.9153,0.9157,0.7998,0.9483,0.9999,0.9961
0.7007,0.5674,0.7723,0.9216,0.9215,0.7871,0.9433,0.9999,0.995
0.7007,0.5674,0.7746,0.9159,0.9159,0.7989,0.9461,0.9998,0.9964
0.7007,0.5674,0.7758,0.9132,0.9131,0.801,0.9464,0.9997,0.9958
0.7007,0.5674,0.7687,0.9186,0.9185,0.8009,0.9462,0.9997,0.9962
0.7007,0.5674,0.7653,0.9129,0.9126,0.7983,0.9466,0.9997,0.9948
0.7007,0.5674,0.7652,0.9116,0.9117,0.8014,0.9448,0.9997,0.9959
0.7007,0.5674,0.7727,0.9156,0.9159,0.7921,0.9431,0.9997,0.9957
0.7007,0.5674,0.773,0.9148,0.9146,0.8014,0.9453,0.9997,0.9953
0.7007,0.5674,0.7702,0.9166,0.917,0.8043,0.9451,0.9996,0.9961
